Place;Year;Month;Day;Season;Moth species;Pollen family;Pollen species
SS;2017;November;10;Autumn;Agrochola lychnidis;Fabaceae;Ceratonia siliqua
SS;2017;November;10;Autumn;Agrochola lychnidis;Ericaceae;Erica multiflora
SS;2017;November;10;Autumn;Agrochola lychnidis;Ericaceae;Erica multiflora
SS;2017;November;10;Autumn;Agrochola lychnidis;Brassicaceae;Brassicaceae
SS;2017;November;10;Autumn;Agrochola lychnidis;Myrtaceae;Myrtaceae
SS;2017;November;10;Autumn;Agrochola lychnidis;Liliaceae;Asphodelus fistulosus
SS;2017;November;10;Autumn;Agrochola lychnidis;Fabaceae;Genista-like
SS;2017;November;10;Autumn;Agrotis ipsilon;Fabaceae;Lotus sp.
SS;2017;November;10;Autumn;Agrotis ipsilon;Ericaceae;Erica multiflora
SS;2017;November;10;Autumn;Agrotis segetum-trux;Fabaceae;Genista-like
SS;2017;November;10;Autumn;Agrotis segetum-trux;Ericaceae;Arbutus unedo
SS;2017;November;10;Autumn;Ammopolia witzenmanni;Fabaceae;Lotus sp.
SS;2017;November;10;Autumn;Ammopolia witzenmanni;Ericaceae;Erica multiflora
SS;2017;November;10;Autumn;Mniotype occidentalis;Ericaceae;Erica multiflora
SS;2017;November;10;Autumn;Mniotype occidentalis;Ericaceae;Arbutus unedo
SS;2017;November;10;Autumn;Aporophyla nigra;Ericaceae;Arbutus unedo
SS;2017;November;10;Autumn;Aporophyla nigra;Ericaceae;Arbutus unedo
SS;2017;November;10;Autumn;Aporophyla nigra;Ericaceae;Arbutus unedo
SS;2017;November;10;Autumn;Aporophyla nigra;Ericaceae;Arbutus unedo
SS;2017;November;10;Autumn;Cerastis faceta;Ericaceae;Ericaceae
SS;2017;November;10;Autumn;Autographa gamma;Ericaceae;Arbutus unedo
SS;2017;November;10;Autumn;Autographa gamma;Arecaceae;Arecaceae
SS;2017;November;10;Autumn;Noctua pronuba;Fabaceae;Genista-like
SS;2017;November;10;Autumn;Peridroma saucia;Ericaceae;Arbutus unedo
SS;2017;November;10;Autumn;Xylocampa areola;Ericaceae;Ericaceae
SS;2017;November;10;Autumn;Xylocampa areola;Fabaceae;Lotus sp.
SS;2017;November;10;Autumn;Xylocampa areola;Ericaceae;Arbutus unedo
SS;2017;November;10;Autumn;Xylocampa areola;Ericaceae;Arbutus unedo
SS;2017;November;10;Autumn;Xylocampa areola;Fabaceae;Genista-like
SS;2017;November;10;Autumn;Xylocampa areola;Ericaceae;Arbutus unedo
SS;2017;November;24;Autumn;Agrochola lychnidis;Ericaceae;Arbutus unedo
SS;2017;November;24;Autumn;Agrochola lychnidis;Ericaceae;Arbutus unedo
SS;2017;November;24;Autumn;Ammopolia witzenmanni;Ericaceae;Arbutus unedo
SS;2017;November;24;Autumn;Ammopolia witzenmanni;Fabaceae;Genista-like
SS;2017;November;24;Autumn;Ammopolia witzenmanni;Arecaceae;Arecaceae
SS;2017;November;24;Autumn;Ammopolia witzenmanni;Ericaceae;Arbutus unedo
SS;2017;November;24;Autumn;Ammopolia witzenmanni;Liliaceae;Allium/Merendera
SS;2017;November;24;Autumn;Agrochola lychnidis;Ericaceae;Arbutus unedo
