"";"higher.level.degree";"higher.level.species.strength";"higher.level.interaction.push.pull";"higher.level.species.specificity.index"
"Acontia.lucida";1;1;0;1
"Agrochola.lychnidis";8;2,13000345065562;0,141250431331953;0,403575075350634
"Agrotis.ipsilon";13;4,02474120082816;0,232672400063704;0,512861867646016
"Agrotis.segetum.trux";2;0,157349896480331;-0,421325051759834;0,693375245281536
"Ammopolia.witzenmanni";6;1,37701863354037;0,0628364389233955;0,480384461415261
"Aporophyla.nigra";1;0,101449275362319;-0,898550724637681;1
"Autographa.gamma";2;0,514492753623188;-0,242753623188406;0,693375245281536
"Cerastis.faceta";5;1,44009661835749;0,0880193236714976;0,47026997156298
"Chrysodeixis.chalcites";1;0,0144927536231884;-0,985507246376812;1
"Helicoverpa.armigera";1;0,142857142857143;-0,857142857142857;1
"Heliothis.peltigera";7;2,88949275362319;0,269927536231884;0,385307070349791
"Metopoceras.felicina";1;1;0;1
"Mniotype.occidentalis";2;0,17184265010352;-0,41407867494824;0,733799385705343
"Mythimna.languida";1;0,0144927536231884;-0,985507246376812;1
"Mythimna.unipuncta";2;0,347826086956522;-0,326086956521739;0,693375245281536
"Noctua.pronuba";7;1,29346100759144;0,0419230010844918;0,331496772065898
"Panolis.flammea";2;0,514492753623188;-0,242753623188406;0,693375245281536
"Peridroma.saucia";1;0,0579710144927536;-0,942028985507246;1
"Spodoptera.exigua";3;1,75;0,25;0,554700196225229
"Trichoplusia.ni";1;0,142857142857143;-0,857142857142857;1
"Trigonophora.flammea";1;0,0144927536231884;-0,985507246376812;1
"Tyta.luctuosa";5;2,39285714285714;0,278571428571429;0,411376675603721
"Xylocampa.areola";11;5,50771221532091;0,409792019574628;0,586706157275821
